instance,algorithm,seed,objv,lb,bkv,bklb,first_release_time,last_release_time
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,7,898.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,8,888.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,2,896.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,10,897.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,RS,1,883.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,5,818.0,195.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,3,790.0,245.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,4,814.0,247.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,10,768.0,195.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,2,833.0,247.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,7,792.0,248.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,1,852.0,191.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,9,674.0,195.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,6,797.0,199.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,MIP,8,744.0,195.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,10,475.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,1,475.0,0.0,474.0,376.0,Early,Late
