instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,3,499.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,9,485.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,10,471.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,6,482.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,4,474.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,5,494.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,1,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,2,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,3,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,9,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,5,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,7,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,6,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,10,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,8,761.0,0.0,398.0,215.0,Medium,Many
